Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit,Antal karakterer
Bakkeskolen (Horsens),3.38955776470588,3.24194664705882,3.59803923529412,3.67222223529412,3.01176482352941,,
Bakkeskolen (Kolding),3.57769542471042,3.57084615325671,3.56976744573643,3.98759920769231,3.00029531395349,7.09487597093791,757
Bakkeskolen (Skanderborg),3.71558073765432,3.74091820370371,3.82172342724458,4.06164266049383,3.13183421604938,7.36829740488431,778
Bakkeskolen Cosmos (Esbjerg),3.85734781451613,3.8213964717742,4.02822580645161,4.19455964919355,3.32599844758064,6.04836264062501,448
Bakkevejens Skole Fortuna (Esbjerg),3.47945044983819,3.45467192880259,3.66827438906752,3.79708994174757,2.9345199446254,6.768608125,808
Balleskolen (Silkeborg),3.5292083645485,3.61997522408027,3.55406912374582,3.90365769899666,2.87855534797297,7.16832940861344,952
Balsmoseskolen (Egedal),3.47754131410256,3.47984247096775,3.60209002893891,3.76784827476039,2.98482142948718,7.59768409985527,691
Baltorpskolen (Ballerup),3.59143978698225,3.54779817357003,3.76004611462451,3.8550475877712,3.16344175841585,6.52626516990292,412
Bangsbostrand skoleafdeling (Frederikshavn),3.55720518902439,3.50894717933131,3.56320081651376,3.8906455640244,3.130045,6.68008112367864,946
Bankagerskolen (Horsens),3.52111800255754,3.5383508849105,3.58675213846154,3.82462753964195,3.03190840664962,6.7328637001224,817
Barometeret (København),3.760042875,3.629985125,4.0364583125,3.8796875,3.52380946666667,,
Barrit Skole (Hedensted),3.87970044444444,3.82535165909091,3.85555555555556,4.1813404,3.53259253333333,,
Basen (København),3.78582175,3.5581844375,4.36666666666667,3.9836735,3.50803575,,
Basen Skole- og dagbehandlingshjem (Odense),4.09081788235294,3.76412217647059,4.41666664705882,4.22916666666667,4.03277311764706,,
"Basen, Birkerød (Rudersdal)",3.56460495238095,3.29931961904762,3.92857142857143,3.93724490476191,3.12358276190476,,
Bavnebakkeskolen (Rebild),3.56750726633166,3.60567238790933,3.62311557788945,3.94346841666667,2.95610791959799,7.38178193860561,961
Bavnehøj Skole (Aarhus),3.51978994078947,3.48456301980198,3.5858004375,3.82348402287582,3.09669483552631,6.73908925721153,832
Bavnehøj Skole (København),3.71603925120773,3.69737546859904,3.78676470588235,4.03333526086956,3.25182617961165,6.11012700000001,355
Bavnehøjskolen (Favrskov),3.64801858163265,3.71234956565656,3.78826530612245,4.03193041414141,2.94635567346939,,
Beder Skole (Aarhus),3.48987143642612,3.51374744520548,3.52777778006873,3.85252550515464,2.92952872164948,7.77574604380474,799
Bedsted Skole (Thisted),3.63705640476191,3.51643426829268,3.77182540476191,3.9670635,3.3197279047619,6.220570976,125
Behandlingshjemmet Nebs Møllegård (Ringsted),3.04959266666667,3.10571406666667,3.2555556,3.10978833333333,2.77650793333333,,
Behandlingshjemmet Stutgården (Hillerød),3.3900975,3.4375,3.770833375,3.530208375,2.924999875,,
Behandlingsskolen Pilen ApS (København),3.6802202,3.7333332,3.825,3.9966667,3.0738095,,
Behandlingsskolerne Chrysalis Virum ApS (Lyngby-Taarbæk),3.50552986666667,3.52156073333333,3.65151515909091,3.72265433333333,3.08153435555556,,
Behandlingsskolerne Fortuna Vanløse ApS (København),3.76398010526316,3.4860119,4.13596489473684,3.94402678947369,3.52481205263158,,
Behandlingstilbuddet Munkegården (Faaborg-Midtfyn),3.790021,3.52157725,3.85714285714286,3.8631945,3.9863095,,
Bellahøj Skole (København),3.48452034219269,3.60627877591973,3.52934662126246,3.78978668438538,2.87314284,6.9445562670549,1202
Biersted Skole (Jammerbugt),3.67219606122449,3.55079554871796,3.87712585204082,4.04442217857143,3.16180757653062,7.13889709160304,917
Bifrostskolen (Ringsted),3.72219112,3.67479352,3.90666668,3.87746032,3.48313495833333,,
BillundSkolen (Billund),3.41424090196079,3.38816742577031,3.51419925418994,3.7715586388889,2.87470406497175,7.83681432952924,701
